######################################################################;;;;;;;;;;;;;;x;;;;,,,,
# Decisions;;;;;;;;;;;;;;x;;;;,,,,
######################################################################;;;;;;;;;;;;;;x;;;;,,,,
# AUS.txt;;;;;;;;;;;;;;x;;;;,,,,
enact_danube_federation_title;The Danubian Federation;;;;;;;;;;;;;x;;;;,,,,
enact_danube_federation_desc;For awhile now, this modern Austrian state has been seeking stability in southern Europe by first suppressing the southern Slavs, and then by granting more autonomy to the Hungarians, but now it seems to-day that the solution lies in more autonomy all of these peoples. This proposed solution is to form a Danubian federation of not just one nation, but of six different states that will unite all the Slavs and Germans of southern Europe under one strong union.;;;;;;;;;;;;;x;;;;
# BoerWar.txt;;;;;;;;;;;;;;x;;;;,,,,
boer_republic_title;The Boer Republic;;;;;;;;;;;;;x;;;;,,,,
boer_republic_desc;We have established a new nation, dominated by the Voortrekkers and carved from the territory of African natives. This is a new opportunity for us to live outside of British rule. Long live the republic!;;;;;;;;;;;;;x;;;;,,,
form_south_african_republic_title;Die Zuid-Afrikaansche Republiek;;;;;;;;;;;;x;;;;,,,,
form_south_african_republic_desc;Now that we have established control over all of the regions with which we, the Voortrekkers, have settled, it is the opportune time to establish a unified South African Republic for our newly found home.;;;;;;;;;;;;x;;;;,
create_south_africa_republic_title;Die Zuid-Afrikaansche Republiek;;;;;;;;;;;;x;;;;,,,,
create_south_africa_republic_desc;It is only right, we feel, that we should come to the aid of the Boers in Africa. They are the kin of our German ancestors before us, and like such, we shall protect them. We feel it is necessary that we should create a unified South African Republic to fend off foreign aggression in the region and to better unite the Boers into a single nation.;;;;;;;;;;;;x;;;;
create_union_of_south_africa_title;The Union of South Africa;;;;;;;;;;;;x;;;;,,,,
create_union_of_south_africa_desc;Now that was have established total control over Cape colony and its surrounding regions from the Boers, it would be ideal to create a colonial government to manage internal affairs.;;;;;;;;;;;;x;;;;,,,
# WarDrafts.txt;;;;;;;;;;;;;;x;;;;,,,,
one_year_draft_title;One Year Draft;;;;;;;;;;;;;x;;;;,,,,
two_year_draft_title;Two Year Draft;;;;;;;;;;;;;x;;;;,,,,
four_year_draft_title;Four Year Draft;;;;;;;;;;;;;x;;;;,,,,
mandatory_service_title;Mandatory Service;;;;;;;;;;;;;x;;;;,,,,
# schlieffenbel.txt;;;;;;;;;;;;;;x;;;;,,,,
schlieffenplanbel_title;Schlieffen Plan - Belgium;;;;;;;;;;;;;x;;;;,,,,
schlieffenplanbel_desc;In the event that the Belgians dont give us military access during a state of conflict with France and Russia our general staff has devised other methods...;;;;;;;;;;;;;x;;;;,,,,
# schlieffenlux.txt;;;;;;;;;;;;;;x;;;;,,,,
schlieffenplanlux_title;Schlieffen Plan - Luxembourg;;;;;;;;;;;;;x;;;;,,,,
schlieffenplanlux_desc;Conquering Luxembourg would be easy and make the Schlieffen Plan easier;;;;;;;;;;;;;x;;;;,,,,
# schlieffennet.txt;;;;;;;;;;;;;;x;;;;,,,,
schlieffenplannet_title;Schlieffen Plan - Netherlands;;;;;;;;;;;;;x;;;;,,,,
schlieffenplannet_desc;Attacking the Netherlands would make another enemy but would also help our supply lines in Belgium;;;;;;;;;;;;;x;;;;,,,,
sendlenin_title;Send Lenin;;;;;;;;;;;;;x;;;;,,,,
sendlenin_desc;Russia's internal instability has given us ,the opportunity to send a revolutionary named Lenin to cause havoc in Russia and force them out of the war. In the deal Lenin has promised us lands in the Baltics. Poland. Belarus and Ukraine.;;;;;;;;;;;;;x;;;;,,,
russiansfsr_title;Establish the Soviet Union!;;;;;;;;;;;;;x;;;;,,,,
russiansfsr_desc;Now that we have won the civil war we can create a new republic.;;;;;;;;;;;;;x;;;;,,,,
russiansfsr3_title;Remove Bolshevik Scum!;;;;;;;;;;;;;x;;;;,,,,
russiansfsr3_desc;Now that we have won the civil war we can rid our home from the communist plague.;;;;;;;;;;;;;x;;;;,,,,
ottomancanal_title;Control the Bosphorus;;;;;;;;;;;;;x;;;;,,,,
ottomancanal_desc;Since we control the straits. We can control the traffic that comes through and prevent enemy ships from aiding our enemy Russia. Whilst allowing ourselves and our allies to pass freely.;;;;;;;;;;;;;x;;;;,,,,
bringhope_title;Bring Back Hope;;;;;;;;;;;;;x;;;;,,,,
bringhope_desc;Now that we have retaken some of our land. Our people can trust their government once again.;;;;;;;;;;;;;x;;;;,,,,
zimmerman_title;The Zimmermann Telegram;;;;;;;;;;;;;x;;;;,,,,
zimmerman_desc;We have the opportunity to distract the Americans and gain an alliance with Mexico. Forcing them into a war against the United States and promising there former lands.;;;;;;;;;;;;;x;;;;,,,,
russia_f_title;Take control on russian people;;;;;;;;;;;;;x;;;;,,,,
russia_f_desc;Take control on the lands of the russian empire that we liberate on the war againts the other powers;;;;;;;;;;;;;x;;;;,,,,
german_poland_title;Take Warsaw!;;;;;;;;;;;;;x;;;;,,,,
german_poland_desc;Our troops have taken Warsaw, and now we must continue our fight to defeat the Russian Empire!;;;;;;;;;;;;;x;;;;,,,,
purify_the_nation_title;The Armenian Genocide!;;;;;;;;;;;;;x;;;;,,,,
purify_the_nation_desc;Our people it's getting tired of the war, we need to blame the armenians for our lucks in this war, then we must never slacken again!;;;;;;;;;;;;;x;;;;,,,,
caidaotoman2o_title;Arise the arab peoples!;;;;;;;;;;;;;x;;;;,,,,
caidaotoman2o_desc;Now that we're at war with the Ottoman Empire, we need help from the arab minorities!;;;;;;;;;;;;;x;;;;,,,,
